"Step","Grouped runs - charts/mean_success_rate","Grouped runs - charts/mean_success_rate__MIN","Grouped runs - charts/mean_success_rate__MAX"
"399950","0.007600000000000001","0","0.016800000000000002"
"599950","0.0127","0.0068","0.022799999999999997"
"799950","0.023200000000000002","0.012000000000000002","0.033600000000000005"
"999950","0.0249","0.0196","0.03"
"1199950","0.0398","0.03559999999999999","0.0432"
"1399950","0.054799999999999995","0.0496","0.0584"
"1599950","0.0741","0.0548","0.102"
"1799950","0.0812","0.061200000000000004","0.124"
"1999950","0.0856","0.052000000000000005","0.1152"
"2199950","0.12250000000000001","0.096","0.14800000000000002"
"2399950","0.115","0.11160000000000002","0.12160000000000001"
"2599950","0.14280000000000004","0.1264","0.16880000000000003"
"2799950","0.1631","0.13799999999999998","0.2016"
"2999950","0.2058","0.1564","0.2376"
"3199950","0.22630000000000003","0.17680000000000004","0.25120000000000003"
"3399950","0.2285","0.1816","0.27"
"3599950","0.21680000000000002","0.18280000000000005","0.2504"
"3799950","0.23820000000000002","0.1984","0.272"
"3999950","0.2528","0.2152","0.26720000000000005"
"4199950","0.253","0.2368","0.2808"
"4399950","0.27949999999999997","0.26319999999999993","0.2896"
"4599950","0.2761","0.252","0.29919999999999997"
"4799950","0.2893","0.27440000000000003","0.3104"
"4999950","0.2844","0.252","0.3184"
"5199950","0.2965","0.2724","0.3088"
"5399950","0.2872","0.2528","0.31920000000000004"
"5599950","0.3091","0.2848","0.3332"
"5799950","0.3041","0.27879999999999994","0.32799999999999996"
"5999950","0.3144","0.2916","0.33120000000000005"
"6199950","0.31880000000000003","0.306","0.33"
"6399950","0.33769999999999994","0.3176","0.36399999999999993"
"6599950","0.3363","0.31799999999999995","0.3464"
"6799950","0.3447","0.32799999999999996","0.36239999999999994"
"6999950","0.33599999999999997","0.3184","0.37439999999999996"
"7199950","0.3558","0.3332","0.40879999999999994"
"7399950","0.34719999999999995","0.31079999999999997","0.3999999999999999"
"7599950","0.35440000000000005","0.3236","0.40240000000000004"
"7799950","0.37389999999999995","0.33399999999999996","0.40159999999999996"
"7999950","0.37739999999999996","0.33759999999999996","0.42200000000000004"
"8199950","0.3751","0.33240000000000003","0.43160000000000004"
"8399950","0.36660000000000004","0.312","0.4012"
"8599950","0.35289999999999994","0.3008","0.4096"
"8799950","0.3833","0.3492","0.4352"
"8999950","0.3821","0.3496","0.4364"
"9199950","0.39859999999999995","0.3668","0.43879999999999997"
"9399950","0.39080000000000004","0.35840000000000005","0.4432"
"9599950","0.3883","0.3568","0.44359999999999994"
"9799950","0.4041","0.37920000000000004","0.4416"
"9999950","0.4057","0.37160000000000004","0.44839999999999997"
"10199950","0.39530000000000004","0.376","0.42840000000000006"
"10399950","0.39149999999999996","0.3724","0.42"
"10599950","0.39250000000000007","0.36160000000000003","0.43479999999999996"
"10799950","0.39890000000000003","0.37160000000000004","0.4432"
"10999950","0.41030000000000005","0.38520000000000004","0.43520000000000003"
"11199950","0.4198","0.39039999999999997","0.45439999999999997"
"11399950","0.40770000000000006","0.3832","0.45080000000000003"
"11599950","0.4004","0.3676","0.4304"
"11799950","0.41479999999999995","0.3892","0.43199999999999994"
"11999950","0.4191","0.3996","0.4424"
"12199950","0.4042","0.3832","0.43879999999999997"
"12399950","0.40490000000000004","0.37920000000000004","0.43720000000000003"
"12599950","0.40979999999999994","0.38120000000000004","0.43879999999999997"
"12799950","0.42079999999999995","0.41","0.43439999999999995"
"12999950","0.416","0.3912","0.4436"
"13199950","0.42089999999999994","0.39799999999999996","0.44"
"13399950","0.4145","0.39080000000000004","0.434"
"13599950","0.41489999999999994","0.37799999999999995","0.4296"
"13799950","0.41280000000000006","0.39759999999999995","0.4244"
"13999950","0.41100000000000003","0.39880000000000004","0.42200000000000004"
"14199950","0.41090000000000004","0.3956","0.4304"
"14399950","0.406","0.38439999999999996","0.4348"
"14599950","0.4127","0.39160000000000006","0.442"
"14799950","0.42910000000000004","0.4192","0.4472"
"14999950","0.41890000000000005","0.39880000000000004","0.4468"
"15199950","0.42510000000000003","0.4096000000000001","0.4436"
"15399950","0.4337","0.41440000000000005","0.4568"
"15599950","0.4227","0.3788","0.45640000000000003"
"15799950","0.43250000000000005","0.40800000000000003","0.45640000000000003"
"15999950","0.4307000000000001","0.4156","0.44800000000000006"
"16199950","0.4147","0.39199999999999996","0.4412"
"16399950","0.4223","0.38199999999999995","0.46480000000000005"
"16599950","0.42599999999999993","0.396","0.45640000000000003"
"16799950","0.42469999999999997","0.39919999999999994","0.456"
"16999950","0.4374","0.4052","0.474"
"17199950","0.4351999999999999","0.3999999999999999","0.46319999999999995"
"17399950","0.4389","0.4124000000000001","0.45599999999999996"
"17599950","0.4389","0.4","0.4736"
"17799950","0.4479","0.4172","0.4672"
"17999950","0.4295","0.4068","0.44760000000000005"
"18199950","0.45089999999999997","0.4312","0.4704"
"18399950","0.4453","0.42839999999999995","0.47600000000000003"
"18599950","0.4232","0.39280000000000004","0.44480000000000003"
"18799950","0.42819999999999997","0.4107999999999999","0.4436"
"18999950","0.4413","0.4316","0.44800000000000006"
"19199950","0.4308","0.41279999999999994","0.4512"
"19399950","0.4355","0.39599999999999996","0.4648000000000001"
"19599950","0.4317","0.40480000000000005","0.4596"
"19799950","0.44649999999999995","0.4267999999999999","0.4668"
"19999950","0.4279","0.3908","0.46120000000000005"
"20000001","0.43080000000000007","0.39720000000000005","0.4476"
