"Step","Grouped runs - charts/mean_success_rate","Grouped runs - charts/mean_success_rate__MIN","Grouped runs - charts/mean_success_rate__MAX"
"399950","0.0197","0.0036","0.0304"
"599950","0.0235","0.02","0.0272"
"799950","0.0198","0.0144","0.0328"
"999950","0.0296","0.008400000000000001","0.04800000000000001"
"1199950","0.0588","0.032","0.0876"
"1399950","0.0724","0.05199999999999999","0.08"
"1599950","0.08720000000000001","0.07200000000000001","0.10279999999999999"
"1799950","0.0941","0.064","0.1148"
"1999950","0.1008","0.0836","0.12359999999999999"
"2199950","0.11789999999999999","0.07800000000000001","0.166"
"2399950","0.1401","0.1228","0.15320000000000003"
"2599950","0.15200000000000002","0.136","0.1852"
"2799950","0.1612","0.1292","0.18719999999999998"
"2999950","0.18489999999999998","0.1444","0.21439999999999998"
"3199950","0.19390000000000002","0.1812","0.21"
"3399950","0.19369999999999998","0.18359999999999999","0.2048"
"3599950","0.2017","0.18280000000000002","0.21719999999999998"
"3799950","0.2109","0.2","0.2148"
"3999950","0.24409999999999998","0.20400000000000001","0.2988"
"4199950","0.24239999999999998","0.21479999999999996","0.27440000000000003"
"4399950","0.2407","0.222","0.24960000000000002"
"4599950","0.2661","0.2432","0.2844"
"4799950","0.2821","0.24719999999999998","0.3084"
"4999950","0.28869999999999996","0.2632","0.304"
"5199950","0.2862","0.25279999999999997","0.30279999999999996"
"5399950","0.2942","0.28959999999999997","0.3"
"5599950","0.3025","0.292","0.31800000000000006"
"5799950","0.3096","0.294","0.3224"
"5999950","0.3236","0.2948","0.34440000000000004"
"6199950","0.3204","0.3","0.344"
"6399950","0.33849999999999997","0.326","0.36"
"6599950","0.3374","0.3196","0.35"
"6799950","0.33480000000000004","0.324","0.35200000000000004"
"6999950","0.351","0.3336","0.386"
"7199950","0.3399","0.33599999999999997","0.35"
"7399950","0.3474","0.3332","0.3592"
"7599950","0.35609999999999997","0.31999999999999995","0.37799999999999995"
"7799950","0.3625","0.3296","0.3804"
"7999950","0.3497","0.34759999999999996","0.35479999999999995"
"8199950","0.3592000000000001","0.3408","0.37760000000000005"
"8399950","0.3764","0.3564","0.3908"
"8599950","0.3616","0.3432","0.3832"
"8799950","0.3672","0.3344","0.4116"
"8999950","0.3851","0.348","0.43559999999999993"
"9199950","0.3709","0.3432","0.3852"
"9399950","0.3759","0.35960000000000003","0.39"
"9599950","0.3896","0.35119999999999996","0.4128"
"9799950","0.37699999999999995","0.3696","0.3899999999999999"
"9999950","0.374","0.3564","0.4068"
"10199950","0.39189999999999997","0.3788","0.414"
"10399950","0.4014","0.36840000000000006","0.42119999999999996"
"10599950","0.40090000000000003","0.38280000000000003","0.4276"
"10799950","0.4047","0.3940000000000001","0.42"
"10999950","0.4115","0.3812","0.43920000000000003"
"11199950","0.4175","0.38280000000000003","0.44400000000000006"
"11399950","0.4075","0.37160000000000004","0.43279999999999996"
"11599950","0.4082","0.3748","0.446"
"11799950","0.4032","0.3764","0.41440000000000005"
"11999950","0.4012","0.3728","0.42119999999999996"
"12199950","0.40880000000000005","0.3768000000000001","0.43320000000000003"
"12399950","0.40560000000000007","0.36400000000000005","0.468"
"12599950","0.3992","0.37800000000000006","0.4231999999999999"
"12799950","0.4164","0.3776","0.4328"
"12999950","0.4203","0.3856","0.4372"
"13199950","0.40859999999999996","0.38799999999999996","0.4364"
"13399950","0.42110000000000003","0.3936","0.4364"
"13599950","0.4159","0.38199999999999995","0.4316"
"13799950","0.4173","0.4092","0.43"
"13999950","0.4252","0.41840000000000005","0.43000000000000005"
"14199950","0.42550000000000004","0.4056","0.4424"
"14399950","0.4171","0.38439999999999996","0.4384"
"14599950","0.43550000000000005","0.41120000000000007","0.45840000000000003"
"14799950","0.4398","0.4236","0.45480000000000004"
"14999950","0.4463999999999999","0.4171999999999999","0.4864"
"15199950","0.439","0.41120000000000007","0.4764"
"15399950","0.4414","0.41320000000000007","0.48"
"15599950","0.4535","0.39880000000000004","0.502"
"15799950","0.45139999999999997","0.42800000000000005","0.48479999999999995"
"15999950","0.4572","0.43760000000000004","0.4692"
"16199950","0.4359","0.39880000000000004","0.46840000000000004"
"16399950","0.434","0.40199999999999997","0.46240000000000003"
"16599950","0.43960000000000005","0.42400000000000004","0.45599999999999996"
"16799950","0.4404","0.4296","0.4608"
"16999950","0.4489","0.4232","0.47519999999999996"
"17199950","0.4411","0.41040000000000004","0.45600000000000007"
"17399950","0.4444","0.4028","0.4608"
"17599950","0.4495","0.42519999999999997","0.4616"
"17799950","0.4527","0.43239999999999995","0.4912"
"17999950","0.4546","0.4328","0.4968"
"18199950","0.44920000000000004","0.4092","0.4732"
"18399950","0.45549999999999996","0.43239999999999995","0.47839999999999994"
"18599950","0.45740000000000003","0.4104","0.4744"
"18799950","0.46699999999999997","0.4428","0.49160000000000004"
"18999950","0.4551","0.43200000000000005","0.4816"
"19199950","0.44850000000000007","0.43800000000000006","0.4640000000000001"
"19399950","0.4612","0.41519999999999996","0.486"
"19599950","0.44810000000000005","0.41120000000000007","0.4732"
"19799950","0.4672","0.45039999999999997","0.5004"
"19999950","0.44660000000000005","0.43160000000000004","0.46880000000000005"
"20000001","0.4459","0.4352","0.46399999999999997"
